Grapheme	Segments	Structure	Unicode	Frequency	Reflexes
æ̣m	æ̣ m	n c	U+00e6 U+0323 U+0020 U+006d	4	Lashi
øm	ø m	n c	U+00f8 U+0020 U+006d	4	Lashi
jẹ	j ẹ	n c	U+006a U+0020 U+1eb9	4	Maru,Achang,Lashi
ạŋk	ạ ŋk	n c	U+1ea1 U+0020 U+014b U+006b	3	Lashi,Achang
aut	au t	n c	U+0061 U+0075 U+0020 U+0074	3	Maru
ɔ̣p	ɔ̣ p	n c	U+0254 U+0323 U+0020 U+0070	3	Achang
ɛ̣t	ɛ̣ t	n c	U+025b U+0323 U+0020 U+0074	3	Achang,Maru
ẽ∼	ẽ ∼	n c	U+1ebd U+0020 U+223c	3	Bola
ɛ̣n	ɛ̣ n	n c	U+025b U+0323 U+0020 U+006e	3	Achang
õ∼	õ ∼	n c	U+00f5 U+0020 U+223c	3	Lashi,Bola
ạụɂ	ạụ ɂ	n c	U+1ea1 U+1ee5 U+0020 U+0242	3	Maru
øp	ø p	n c	U+00f8 U+0020 U+0070	3	Lashi
ɪ̣t	ɪ̣ t	n c	U+026a U+0323 U+0020 U+0074	3	Atsi
ɛp	ɛ p	n c	U+025b U+0020 U+0070	3	Lashi
ọŋ	ọ ŋ	n c	U+1ecd U+0020 U+014b	3	Lashi,Achang
up	u p	n c	U+0075 U+0020 U+0070	3	Atsi
ụm	ụ m	n c	U+1ee5 U+0020 U+006d	3	Atsi
ạt	ạ t	n c	U+1ea1 U+0020 U+0074	2	Maru
ɪŋ	ɪ ŋ	n c	U+026a U+0020 U+014b	2	Atsi
ot	o t	n c	U+006f U+0020 U+0074	2	Lashi,Achang
ēŋ	ē ŋ	n c	U+0113 U+0020 U+014b	2	Lashi
in	i n	n c	U+0069 U+0020 U+006e	2	Atsi
ạịt	ạị t	n c	U+1ea1 U+1ecb U+0020 U+0074	2	Maru
ɨŋ	ɨ ŋ	n c	U+0268 U+0020 U+014b	2	Achang
ik	i k	n c	U+0069 U+0020 U+006b	2	Atsi
