ID	DOCULECT	DOCULECT_IS	CONCEPT	ID_IS	VALUE	SEGMENTED_VALUE	TOKENS	STRUCTURE	COGID
885	Lashi	Nishi Leqi/Lashi	big	165	kji:³³	kj i: ³³	k j i: ³³	i m n t	165
886	Achang	Nishi Achang	big	165	kʐə³¹	kʐ ə ³¹	kʐ ə ³¹	i n t	165
1570	Maru	Nishi Langsu/Maru	bird	299	ŋọ̣ɂ⁵⁵	ŋ ọ̣ɂ ⁵⁵	ŋ o̰ ɂ ⁵⁵	i n c t	298
1571	Xiandao	Nishi Xiandao	bird	299	ŋ̊ɔɂ⁵⁵	ŋ̊ ɔɂ ⁵⁵	ŋ̊ ɔ ʔ ⁵⁵	i n c t	298
1572	Lashi	Nishi Leqi/Lashi	bird	299	ŋọ̣ɂ⁵⁵	ŋ ọ̣ɂ ⁵⁵	ŋ o̰ ɂ ⁵⁵	i n c t	298
1573	Bola	Nishi Bola	bird	299	ŋạɂ⁵⁵	ŋ ạɂ ⁵⁵	ŋ a̰ ʔ ⁵⁵	i n c t	298
1574	Achang	Nishi Achang	bird	299	m̥ɔɂ⁵⁵	m̥ ɔɂ ⁵⁵	m̥ ɔ ʔ ⁵⁵	i n c t	298
1575	Atsi	Nishi Zaiwa/Atsi	bird	299	ŋọ̣ɂ⁵⁵	ŋ ọ̣ɂ ⁵⁵	ŋ o̰ ɂ ⁵⁵	i n c t	298
1509	Maru	Nishi Langsu/Maru	bird's nest	288	-sat⁵⁵	- s at ⁵⁵	+ s a t ⁵⁵	+ i n c t	287
1510	Xiandao	Nishi Xiandao	bird's nest	288	-sut⁵⁵	- su t ⁵⁵	+ s u t ⁵⁵	+ i m i t	287
1511	Lashi	Nishi Leqi/Lashi	bird's nest	288	-sɔ̣̣t⁵⁵	- s ɔ̣̣t ⁵⁵	+ s ɔ̰ t ⁵⁵	+ i n c t	287
1512	Bola	Nishi Bola	bird's nest	288	-sɔt⁵⁵	- s ɔt ⁵⁵	+ s ɔ t ⁵⁵	+ i n c t	287
